appId,year_bucket,minInstalls_bucket
com.zzangcartoon14up,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon10,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon16,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon12,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon4,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon3,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon11,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon15,[2011-2015],[Install between 50001 or 100000]
com.zzangcartoon5,[2011-2015],[Install between 50001 or 100000]
malayalam.kerala.likhil.chalikal,[2011-2015],[Install between 50001 or 100000]
com.MayersDev.IndiretaseDiretas,[2011-2015],[Install between 50001 or 100000]
com.apps2you.libancall,[2011-2015],[Install between 50001 or 100000]
www.hazratali.k.aqwal,[2011-2015],[Install between 50001 or 100000]
prima.appelenco.elencotelefonicoitaliano,[2011-2015],[Install between 50001 or 100000]
com.innobms.dailytalk,[2011-2015],[Install between 50001 or 100000]
